"design_condition_id","rep_tier","profile","ICC_y","J","nbar","ICC_x","rho_PV","M","leg","R","meanW","biasW","covW","covW_lo","covW_hi","meanB","biasB","covB","covB_lo","covB_hi","mcseW","mcseB"
"T2-c3","mainstream","USA",0.2,50,30,0.15,0.9,10,"c_direct",100,0.4001960395623,0.000196039562300132,0.94,0.875231844883911,0.972213876199372,0.591794684969537,-0.00820531503046262,0.96,0.901629285015279,0.984336696117245,0.00303240962765165,0.0177014317800273
"T2-c3","mainstream","USA",0.2,50,30,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T2-c3","mainstream","USA",0.2,50,30,0.15,0.9,10,"freq_per_pv",100,0.400066100139239,6.6100139238523e-05,0.96,0.901629285015279,0.984336696117245,0.592381286597435,-0.00761871340256515,0.96,0.901629285015279,0.984336696117245,0.00302716189204116,0.0176725007711504
"T2-c4","mainstream","USA",0.2,100,10,0.15,0.9,10,"bayes_a",100,0.39997383571138,-2.6164288620012e-05,0.97,0.915480635101425,0.989745476055719,0.598320097082776,-0.00167990291722409,0.93,0.862504851938476,0.965680739120187,0.00379500819162575,0.0137909306670322
"T2-c4","mainstream","USA",0.2,100,10,0.15,0.9,10,"freq_per_pv",100,0.399972921146255,-2.70788537447553e-05,0.97,0.915480635101425,0.989745476055719,0.598259916508004,-0.00174008349199584,0.92,0.850018922307228,0.958906538726815,0.00379240187717833,0.0138025650063785
"T2-c4","mainstream","USA",0.2,100,10,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T2-c4","mainstream","USA",0.2,100,10,0.15,0.9,10,"c_direct",100,0.40000841030555,8.41030554998845e-06,0.97,0.915480635101425,0.989745476055719,0.598855767702183,-0.00114423229781735,0.92,0.850018922307228,0.958906538726815,0.00380032990705257,0.0138001175956339
"T2-c5","mainstream","USA",0.2,100,30,0.15,0.9,10,"c_direct",100,0.402017257885725,0.00201725788572488,0.94,0.875231844883911,0.972213876199372,0.582566992489322,-0.0174330075106784,0.96,0.901629285015279,0.984336696117245,0.00209942884228048,0.0124778321352881
"T2-c5","mainstream","USA",0.2,100,30,0.15,0.9,10,"freq_per_pv",100,0.401946559121839,0.00194655912183944,0.97,0.915480635101425,0.989745476055719,0.581919096872566,-0.0180809031274338,0.97,0.915480635101425,0.989745476055719,0.00209769732606527,0.0123969315857126
"T2-c5","mainstream","USA",0.2,100,30,0.15,0.9,10,"bayes_a",100,0.401940634881517,0.00194063488151747,0.97,0.915480635101425,0.989745476055719,0.581845411695252,-0.0181545883047477,0.97,0.915480635101425,0.989745476055719,0.00209703013589315,0.0124163876683802
"T2-c5","mainstream","USA",0.2,100,30,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
